Name,Domain,Years_of_Experience,Projects,Skills,Achievements,Current_Position,Graduation_Year,Bio,Email,Instagram,X_handle,Profile_Photo,Cover_Photo
Rahul Sharma,Computer Science,5,"AI Chatbot, Web Scraper","Python, ML, Django",Best Engineer Award 2022,Google,2018,"Rahul Sharma works in Computer Science with skills in Python, ML, Django. Currently at Google, graduated in 2018.",rahul.sharma@gmail.com,@rahulsharma,rahul_cs,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Priya Verma,Electronics,3,"IoT Smart Home, Circuit Design","C, Embedded Systems, MATLAB",Young Innovator Award,Texas Instruments,2020,"Priya Verma works in Electronics with skills in C, Embedded Systems, MATLAB. Currently at Texas Instruments, graduated in 2020.",priya.verma@gmail.com,@priyaverma,priya_elec,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Amit Singh,Mechanical,7,"Robotic Arm, CAD Models","SolidWorks, AutoCAD, Manufacturing",Filed 2 Patents,Tesla,2016,"Amit Singh works in Mechanical with skills in SolidWorks, AutoCAD, Manufacturing. Currently at Tesla, graduated in 2016.",amit.singh@gmail.com,@amitsingh,amit_mech,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Neha Gupta,Civil,4,"Bridge Design, Urban Planning","AutoCAD, STAAD Pro, Project Mgmt",Top 10 Women in Civil 2023,Larsen & Toubro,2019,"Neha Gupta works in Civil with skills in AutoCAD, STAAD Pro, Project Mgmt. Currently at Larsen & Toubro, graduated in 2019.",neha.gupta@gmail.com,@nehagupta,neha_civil,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Arjun Mehta,IT,2,"E-commerce Website, Mobile App","Java, React, SQL",Hackathon Winner,Infosys,2021,"Arjun Mehta works in IT with skills in Java, React, SQL. Currently at Infosys, graduated in 2021.",arjun.mehta@gmail.com,@arjunmehta,arjun_it,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Sneha Iyer,Computer Science,10,"Data Lake, Fraud Detection System","Big Data, AI, AWS",IAS Officer (Rank 52 UPSC),Government of India,2013,"Sneha Iyer works in Computer Science with skills in Big Data, AI, AWS. Currently at Government of India, graduated in 2013.",sneha.iyer@gmail.com,@sneha_iyer,sneha_cs,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Vikram Rao,Electronics,6,"Satellite Comms, VLSI Design","Verilog, FPGA, RF Systems",Published 5 IEEE Papers,ISRO,2015,"Vikram Rao works in Electronics with skills in Verilog, FPGA, RF Systems. Currently at ISRO, graduated in 2015.",vikram.rao@gmail.com,@vikramrao,vikram_elec,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Riya Kapoor,Biotech,3,"DNA Sequencing Tool, Bioinformatics App","R, Python, Bioinformatics",National Research Fellowship,Novartis,2020,"Riya Kapoor works in Biotech with skills in R, Python, Bioinformatics. Currently at Novartis, graduated in 2020.",riya.kapoor@gmail.com,@riyakapoor,riya_bio,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Kunal Joshi,Mechanical,8,"EV Motor Design, Drone Prototype","MATLAB, Robotics, IoT",Founded Startup: GreenMobility,Entrepreneur,2014,"Kunal Joshi works in Mechanical with skills in MATLAB, Robotics, IoT. Currently at Entrepreneur, graduated in 2014.",kunal.joshi@gmail.com,@kunaljoshi,kunal_mech,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Ananya Desai,Civil,12,"Smart City Model, Metro Rail Project","Civil Engg Mgmt, AutoCAD",Chief Engineer Award,Tata Projects,2011,"Ananya Desai works in Civil with skills in Civil Engg Mgmt, AutoCAD. Currently at Tata Projects, graduated in 2011.",ananya.desai@gmail.com,@ananyadesai,ananya_civil,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
